x,K_baseline,K_windowed
-2.91,1.449357255353e-02,1.530779412293e-03
-2.9,1.492078606907e-02,1.585630825618e-03
-2.89,1.535905617639e-02,1.642310943680e-03
-2.88,1.580861870524e-02,1.700875656873e-03
-2.87,1.626971296314e-02,1.761382386206e-03
-2.86,1.674258174010e-02,1.823890119406e-03
-2.85,1.722747131164e-02,1.888459447699e-03
-2.84,1.772463144018e-02,1.955152603267e-03
-2.83,1.823431537470e-02,2.024033497397e-03
-2.82,1.875677984858e-02,2.095167759325e-03
-2.81,1.929228507566e-02,2.168622775785e-03
-2.8,1.984109474437e-02,2.244467731264e-03
-2.79,2.040347601000e-02,2.322773648980e-03
-2.78,2.097969948493e-02,2.403613432579e-03
-2.77,2.157003922683e-02,2.487061908569e-03
-2.76,2.217477272486e-02,2.573195869483e-03
-2.75,2.279418088361e-02,2.662094117794e-03
-2.74,2.342854800501e-02,2.753837510580e-03
-2.73,2.407816176785e-02,2.848509004939e-03
-2.72,2.474331320515e-02,2.946193704176e-03
-2.71,2.542429667916e-02,3.046978904754e-03
-2.7,2.612140985392e-02,3.150954144019e-03
-2.69,2.683495366548e-02,3.258211248707e-03
-2.68,2.756523228959e-02,3.368844384239e-03
-2.67,2.831255310691e-02,3.482950104800e-03
-2.66,2.907722666555e-02,3.600627404223e-03
-2.65,2.985956664112e-02,3.721977767668e-03
-2.64,3.065988979401e-02,3.847105224103e-03
-2.63,3.147851592401e-02,3.976116399602e-03
-2.62,3.231576782216e-02,4.109120571456e-03
-2.61,3.317197121976e-02,4.246229723091e-03
-2.6,3.404745473460e-02,4.387558599820e-03
-2.59,3.494254981425e-02,4.533224765409e-03
-2.58,3.585759067641e-02,4.683348659476e-03
-2.57,3.679291424637e-02,4.838053655718e-03
-2.56,3.774886009130e-02,4.997466120962e-03
-2.55,3.872577035166e-02,5.161715475064e-03
-2.54,3.972398966942e-02,5.330934251626e-03
